,name,id,cov,lat,lon
76,"VERSAILLES, OH US",GHCND:USC00338642,1.0,40.2211,-84.4955
77,"WARREN 3 S, OH US",GHCND:USC00338769,1.0,41.2019,-80.8105
78,"WASHINGTON COURT HOUSE, OH US",GHCND:USC00338794,1.0,39.5353,-83.4239
79,"WAUSEON WATER PLANT, OH US",GHCND:USC00338822,1.0,41.5183,-84.1452
80,"WAVERLY, OH US",GHCND:USC00338830,1.0,39.1114,-82.9797
81,"WESTERVILLE, OH US",GHCND:USC00338951,1.0,40.1268,-82.9441
82,"WEST MANCHESTER 3 WSW, OH US",GHCND:USC00338990,1.0,39.8731,-84.6556
83,"WEST UNION 6 ENE, OH US",GHCND:USC00339050,1.0,38.8053,-83.4353
84,"XENIA 6 SSE, OH US",GHCND:USC00339361,1.0,39.613,-83.9058
85,"NEW CUMBERLAND L D, OH US",GHCND:USC00466442,1.0,40.5261,-80.6275
87,"WILMINGTON AIR PARK, OH US",GHCND:USW00013841,1.0,39.43084,-83.777
88,"AKRON FULTON INTERNATIONAL AIRPORT, OH US",GHCND:USW00014813,1.0,41.03732,-81.46341
89,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",GHCND:USW00014820,1.0,41.40568,-81.85191
90,"JOHN GLENN INTERNATIONAL AIRPORT, OH US",GHCND:USW00014821,1.0,39.99068,-82.87703
91,"FINDLAY AIRPORT, OH US",GHCND:USW00014825,1.0,41.01369,-83.66814
92,"SANDUSKY, OH US",GHCND:USW00014846,1.0,41.452,-82.723
93,"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",GHCND:USW00014852,1.0,41.25478,-80.67361
94,"MANSFIELD LAHM REGIONAL AIRPORT, OH US",GHCND:USW00014891,1.0,40.8204,-82.51769
95,"AKRON CANTON AIRPORT, OH US",GHCND:USW00014895,1.0,40.91811,-81.44342
96,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",GHCND:USW00093812,1.0,39.106,-84.41609
97,"DAYTON INTERNATIONAL AIRPORT, OH US",GHCND:USW00093815,1.0,39.90638,-84.21853
98,"ZANESVILLE MUNICIPAL AIRPORT, OH US",GHCND:USW00093824,1.0,39.94609,-81.89315
99,"TOLEDO EXPRESS AIRPORT, OH US",GHCND:USW00094830,1.0,41.58705,-83.80538
