,CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD | GHCND:USW00093812,OBERLIN | GHCND:USC00336196,WAVERLY | GHCND:USC00338830,PORTSMOUTH SCIOTOVILLE | GHCND:USC00336781,BEVERLY STP | GHCND:USC00330676,LOGAN | GHCND:USC00334672,BELLEFONTAINE | GHCND:USC00330563,URBANA WRF | GHCND:USC00338552,GALLIPOLIS | GHCND:USC00333029,AKRON CANTON AIRPORT | GHCND:USW00014895,MILLERSBURG | GHCND:USC00335297,LIMA WWTP | GHCND:USC00334551,KENTON | GHCND:USC00334189,SANDUSKY | GHCND:USW00014846,FINDLAY AIRPORT | GHCND:USW00014825,STEUBENVILLE | GHCND:USC00338025,NEWARK WATER WORKS | GHCND:USC00335747,HANNIBAL LOCKS AND DAM | GHCND:USC00333500,HILLSBORO | GHCND:USC00333758,CELINA 3 NE | GHCND:USC00331390,MOSQUITO CREEK LAKE | GHCND:USC00335505,DENNISON WATER WORKS | GHCND:USC00332160,VAN WERT 1 S | GHCND:USC00338609,LANCASTER | GHCND:USC00334403,WILMINGTON AIR PARK | GHCND:USW00013841,MANSFIELD 5 W | GHCND:USC00334874,PAINESVILLE 4 NW | GHCND:USC00336389,DAYTON MCD | GHCND:USC00332067,PANDORA | GHCND:USC00336405,ATHENS OU | GHCND:USC00330279,YOUNGSTOWN WARREN REGIONAL AIRPORT | GHCND:USW00014852,FRANKLIN | GHCND:USC00332928,JOHN GLENN INTERNATIONAL AIRPORT | GHCND:USW00014821,JACKSON 3 NW | GHCND:USC00334004,BOWLING GREEN WWTP | GHCND:USC00330862,SPRINGFIELD WATER TREATMENT PLANT | GHCND:USC00337935,ZANESVILLE MUNICIPAL AIRPORT | GHCND:USW00093824,MARIETTA WWTP | GHCND:USC00334927,WARREN 3 S | GHCND:USC00338769,MARYSVILLE | GHCND:USC00334979,EATON | GHCND:USC00332485,PIQUA WWTP | GHCND:USC00336650,NORWALK WWTP | GHCND:USC00336118,CENTERBURG 2 SE | GHCND:USC00331404,NEW CARLISLE | GHCND:USC00335786,TOLEDO EXPRESS AIRPORT | GHCND:USW00094830,DEFIANCE | GHCND:USC00332098,CIRCLEVILLE | GHCND:USC00331592,MONTPELIER | GHCND:USC00335438,XENIA 6 SSE | GHCND:USC00339361,DAYTON INTERNATIONAL AIRPORT | GHCND:USW00093815,LAKEVIEW | GHCND:USC00333915,FREMONT | GHCND:USC00332974,MANSFIELD LAHM REGIONAL AIRPORT | GHCND:USW00014891,WAUSEON WATER PLANT | GHCND:USC00338822,FINDLAY WPCC | GHCND:USC00332791,WESTERVILLE | GHCND:USC00338951,LONDON STATE FISH HATCHERY | GHCND:USC00334681,CHARDON | GHCND:USC00331458,RAVENNA 2 S | GHCND:USC00336949,HIRAM | GHCND:USC00333780,BUCYRUS | GHCND:USC00331072,FAIRFIELD | GHCND:USC00332651,SOUTH POINT | GHCND:USC00337857,PAULDING | GHCND:USC00336465,WASHINGTON COURT HOUSE | GHCND:USC00338794,NEW LEXINGTON 2 NW | GHCND:USC00335857,HICKSVILLE | GHCND:USC00333722,NEW CUMBERLAND L D | GHCND:USC00466442,SIDNEY 1 S | GHCND:USC00337693,GALION WATER WORKS | GHCND:USC00333021,AKRON FULTON INTERNATIONAL AIRPORT | GHCND:USW00014813,CLEVELAND HOPKINS INTERNATIONAL AIRPORT | GHCND:USW00014820,GREENVILLE WATER PLANT | GHCND:USC00333375
0,9392.55940742564,9487.461624670914,9128.37600399573,8873.074756022941,9062.068920126765,9031.985286416295,9896.8185640117,9536.422052883112,8810.376839218805,9666.516174731929,9274.030207230568,9821.599853211215,9809.906446604164,9515.758279739266,9885.9939172863,9153.992852372345,9208.195287730641,8602.581929650665,8986.787714973501,9936.8809347339,8802.35707199259,9200.870747625502,10015.99896839355,9298.686368218228,9608.287964517172,9858.102690998368,9042.477737762298,9947.54188788242,9964.87797321529,8636.057902873721,9375.852653075437,9238.398604604137,9736.343731930214,8776.179971614632,9857.951150202902,9472.97640752699,9358.165317698713,8944.389780568687,9042.312347396854,9695.173264755844,9555.12307550794,9760.808252500105,9621.364066254038,9559.371712573144,8977.626678304037,9856.570804386349,9858.616414772581,9124.353881954941,9874.172898962877,9427.801084696708,9882.789892860415,9434.98033751505,9748.794947692064,9770.718849501698,9668.318979318237,9953.256720088819,9571.889855451134,9446.991638509573,9165.35384508449,9181.990030495726,9315.94032750871,9664.466096918479,9576.456827516755,8738.829253388792,9961.903131758936,9306.558780509444,9015.783071236852,9618.537549874152,8858.397594058404,9713.700363974212,9825.281095132492,9735.916354888994,9516.53522269279,9810.990307625885
1,9487.461624670914,10621.347118872804,9369.75927777148,9304.67957121516,9382.846817902027,9767.537660243672,10525.809660198795,10149.151690059096,9193.417462233196,10129.988416806644,10037.460064092631,10321.510533684252,10479.099897879692,10305.247659842567,10284.578248590642,9675.950978594738,9704.216154112251,9161.571723060177,9556.53151191467,10404.352020227945,,9576.541654154342,10641.781225345627,9196.397534609257,9943.507270945527,10361.411012974491,9780.231817276546,10311.865499827692,10437.574438183648,9156.887538103112,9913.922153966974,9553.69607189157,10029.167668695598,9232.167664584316,10545.756696282197,9992.943606028337,9659.112870326599,9217.441815175385,9677.058854495495,10108.23018083968,10072.50719480191,10210.834679691437,10320.766034735112,10209.954527070919,,10398.60078886756,10507.531535891952,9624.874562724957,10500.844891850391,9753.022229437094,10171.79634842106,,10550.568949490653,10198.807529196647,10217.738961018875,10451.596822733552,9985.901651735574,10017.16981920066,9954.978596401163,,10081.794050441511,10503.831813342445,9963.012325400765,9201.765218136039,10592.730163756416,9614.078649507961,9542.17589650135,9531.124275362994,9441.4943354768,10441.436065932437,11129.883532171863,10394.716921615896,10067.679486667901,10369.101412511687
2,9128.37600399573,9369.75927777148,9875.86826911547,9383.291037002451,9640.41376340453,9654.184800295858,10247.12908254413,9831.771698825984,9336.464476841928,9598.36698042607,9668.50369001925,9927.522564545669,10015.120093753234,9497.647780236315,9717.764459253674,9458.251933144298,9597.99656278979,9173.791586811332,9473.31495142689,9815.758071560515,9534.484721270102,9426.884718155103,10286.21286055363,9430.78613173602,9327.83343422309,9768.748684421173,9176.30435248696,10287.213174621029,9766.443324729828,9096.426020230321,9341.842681399034,9393.574521600516,9589.090406241412,9419.093875176108,9977.300622206538,9919.695174667992,9299.265356621809,9432.567047217224,9594.757208145485,9651.550941130634,9917.11151301561,9789.110186032693,10020.113836168224,10004.091928966442,9452.0083516536,9706.432192485308,10157.839427930496,9709.134683023833,10117.55434849638,9388.893457666767,9632.008239782397,9986.31154327998,10130.762747246643,9611.600504298105,9975.261110752945,9775.858070949487,9642.313632434823,9821.65642611721,9682.093881103061,9842.775455251867,9772.30702742878,10116.169996291603,9752.35036130896,9319.998735273934,10285.887736179982,9637.219165613531,9583.248932029459,9962.169520722882,9530.460961538934,9984.315583238378,10360.879011221803,9650.852115746044,9425.898677000916,9880.748919321384
3,8873.074756022941,9304.67957121516,9383.291037002451,9391.36775888961,9463.996307634905,9525.953335490814,10064.324197277483,9658.554703504069,9229.37872100341,9313.584682773799,9453.141429892661,9605.783340964028,9798.999343652302,9337.37186551423,9397.7510717114,9240.805113431798,9384.959574952773,9113.124601681768,9333.258887130432,9540.765913118486,9342.42872674458,9114.962717330565,10078.664802024994,9257.683445160255,9155.196118528105,9444.964091691003,8953.598410976301,10122.666523004738,9449.369558556511,9030.013733973316,9074.46477608992,9249.575432162208,9311.021528608017,9262.520399173425,9780.627712245807,9741.716752604283,9032.580608327553,9177.741839185057,9386.352694444444,9426.0745255443,9761.071161934402,9602.705858208956,9828.584890596912,9847.7928396422,9359.786406190336,9406.758211301838,9957.460042824596,9552.993808265366,9888.666272820563,9145.991565994495,9318.873034566672,9795.809798745711,9947.049335286605,9307.438924763499,9726.341560953213,9473.48756578747,9412.316944051834,9675.353565507972,9535.1988244562,9673.261171517504,9615.604816546489,9914.92908880653,9624.8625914418,9211.369648472455,10075.95218340334,9336.170847935795,9470.221287560542,9528.28746520715,9347.470091661755,9816.881778340436,10158.06579705693,9445.490324871931,9145.997182723682,9703.498016086074
4,9062.068920126765,9382.846817902027,9640.41376340453,9463.996307634905,9845.150558597485,9579.065191381746,10200.972328689635,9902.143436185941,9403.285883032426,9548.161522078759,9702.958629947154,9915.236434054996,9905.059853243194,9450.234721674966,9656.479740208519,9618.01086964477,9595.69613587686,9315.90779692019,9425.294447496457,9772.96970811768,9567.133626250677,9455.513827116583,10314.678664895773,9430.842871728844,9296.850223374706,9731.604975199265,9169.185840280385,10335.378306682876,9653.146876337736,9171.373095258297,9296.555458259365,9378.35257235954,9537.179597057382,9397.929172036329,9909.867196097674,9948.219494084726,9264.174210736728,9431.750270621336,9685.2549317169,9680.265274979933,9922.714093069964,9739.420525429763,10093.072868852816,10051.34013753981,9409.54067048299,9639.097895833842,10184.2920797703,9716.647640341876,10166.389782534261,9320.082309686448,9519.303266654722,9986.649096181442,10212.016307658956,9542.986746122026,9983.994611864993,9701.964716195573,9611.222900416591,9863.464532271992,9790.627150136375,9888.223360337766,9871.92723445256,10139.193107890525,9758.471806629588,9305.969160339117,10322.097189097596,9609.882480909113,9667.800428600016,10136.56044610082,9539.38372563066,10034.576606336177,10347.288080517437,9642.006394296894,9371.30182107274,9798.703971359057
5,9031.985286416295,9767.537660243672,9654.184800295858,9525.953335490814,9579.065191381746,10199.14944616343,10263.894232277415,9949.321805978665,9474.655058933398,9542.418775075163,9768.91260872217,9840.635766467829,10073.265762631125,9555.185747386977,9613.885101245465,9594.97335931732,9610.838537749081,9404.146627430327,9710.624721099985,9714.532966426528,9535.500015060334,9455.653765187608,10338.525270403596,9281.005992215363,9130.601055483885,9646.92478519999,9185.759732567665,10415.038795923552,9645.518900628405,9059.817013087506,9296.287447384128,9443.298838010582,9514.951566694865,9420.337548112688,9946.973166262045,10029.222941159025,9254.401318681113,9451.196352426037,9724.598436669461,9637.237580635872,9979.014071038418,9612.88417445904,10117.025860834983,10140.52154525245,9484.899072203529,9598.711708496256,10250.60998927297,9892.26809419107,10275.8064747329,9350.189824128187,9503.244213915685,9870.830214106416,10176.068294950603,9521.84274962886,9985.724836162915,9673.469393535792,9659.133881876358,10063.388879727401,9858.45767648836,9886.189086070715,9886.599311056458,10205.128149576414,9803.16893832844,9372.946687090696,10380.14477368109,9761.713922304185,9794.222710497823,9826.372671217896,9495.880284639728,10090.27736268512,10147.589750481866,9499.279256778118,9355.03984078188,9820.292748875934
6,9896.8185640117,10525.809660198795,10247.12908254413,10064.324197277483,10200.972328689635,10263.894232277415,11249.162500256918,10772.641029934344,9974.842056001102,10493.406321884311,10423.361878557434,10859.801940970232,11042.924152765834,10527.25316458662,10655.109681070107,10212.129648311267,10348.473483147527,9855.523996264084,10225.194850716773,10803.756321424265,10174.517267258927,10128.625718173513,11343.357570927692,10181.683316238294,10185.035355016744,10710.631460811761,10071.611698794235,11316.73394185456,10688.433586172803,9880.912956589327,10226.005742427944,10260.240904762806,10452.783041074677,10034.396347979284,11006.279955446771,10797.11319335139,10100.546106349908,10022.83257821435,10335.966441036418,10580.993459320765,10821.172866045528,10625.320222904063,11012.751727105962,10918.68863647833,10105.033395621324,10654.773463008873,11181.219704407935,10447.911170207344,11146.367132969137,10219.937153206924,10521.279895073441,10837.55880458842,11144.467184779336,10526.361067905229,10916.463504911286,10730.653081053713,10533.880937648222,10759.442080041277,10558.261092359216,10555.200725668383,10660.590493287395,11058.031223988735,10617.64123896451,9891.33985627092,11332.560215598958,10407.431006726249,10321.649761117002,10821.744698533603,10121.014814123015,10968.871545906819,11199.83216563074,10525.391471528501,10339.785469024693,10870.037402171421
7,9536.422052883112,10149.151690059096,9831.771698825984,9658.554703504069,9902.143436185941,9949.321805978665,10772.641029934344,10603.31159376464,9544.80473486023,10058.532040601674,10035.245753830945,10441.052587530861,10472.896061541012,10065.54677507992,10233.950150975592,9833.449001168374,9941.219380838664,9462.301196671327,9836.940361100804,10380.125195450957,9916.466122955808,9784.364492205234,10872.458596431388,9824.06929677991,9885.101978819152,10251.869516191864,9657.201786705024,10894.706675491503,10314.544846139206,9367.743480539171,9815.231550813702,9859.771446845421,10050.319462218928,9638.9839831662,10536.276738440209,10383.263322787636,9713.299585735373,9591.686757429876,9925.418115887865,10170.13641182121,10368.480776218918,10381.404751477909,10554.400262707833,10459.700234885344,9947.04052936523,10261.878267279817,10710.595698234016,10062.363264779777,10658.578447139625,9832.596806055424,10113.14926435856,10548.181065688776,10658.597929897802,10110.808042097022,10463.414473390269,10336.01036163536,10099.89032045905,10326.631207011374,10140.698848459271,10271.155469402025,10232.062537006312,10603.575105512333,10205.111536408294,9526.927756913443,10827.283431523425,9984.584457269144,9904.173831028163,10354.498586403419,9881.263084476965,10510.623802879503,10858.021646590621,10242.12379869002,9926.905519543589,10391.217195846111
8,8810.376839218805,9193.417462233196,9336.464476841928,9229.37872100341,9403.285883032426,9474.655058933398,9974.842056001102,9544.80473486023,9418.804782383355,9256.54618788789,9427.218390806851,9542.245228334981,9684.868136671535,9256.627824796115,9318.55752445164,9210.013185082316,9349.47643911883,9068.647032548648,9255.06587588636,9460.808841548213,9308.668326423915,9055.153421228531,9986.55499795288,9144.240311973688,9022.001051230514,9410.539864463715,8893.047098190103,10054.902784802678,9378.787779230655,9014.290891945364,9022.055062490841,9154.303976991503,9243.781537788502,9185.724261859654,9681.037302089499,9662.239540037199,8981.190901981015,9177.193409569838,9369.01302134864,9351.241908518941,9673.029449182932,9442.723502448363,9760.088049525895,9781.14787399641,9187.678288996018,9322.842592212066,9869.509743382781,9482.7164643005,9821.318797235595,9085.54066101759,9241.708076588271,9738.657132500655,9795.942465324182,9242.979899020149,9679.608810062384,9395.378330297644,9352.844203141673,9604.16159791457,9483.003833976914,9605.674124247324,9573.784307252012,9843.662416359339,9525.533153141525,9158.764700674179,9980.813353531626,9347.970729272643,9418.257053217932,9463.86269110861,9265.08644374306,9747.031687152312,10060.20858229715,9315.435593105358,9083.978033104184,9593.628299789885
9,9666.516174731929,10129.988416806644,9598.36698042607,9313.584682773799,9548.161522078759,9542.418775075163,10493.406321884311,10058.532040601674,9256.54618788789,10451.885855646997,9871.854464192285,10405.943467999909,10359.351668392288,10205.433456114451,10533.862538314248,9715.977687700142,9746.403418344715,9095.850269692337,9462.342940967874,10507.842549891253,9494.031501169035,9784.835202712287,10627.49939064339,9809.541180264348,10043.226163874873,10523.652025434243,9768.55199598056,10506.68222537822,10603.657059663181,9060.553961797325,10134.240320589646,9696.668864028417,10269.511416963758,9224.24566208234,10528.840591302498,9986.347228680992,9905.31806287042,9429.816740969773,9674.064213323847,10229.126196088782,10047.140599021439,10309.93733261637,10305.71073050615,10133.795246002204,9505.407330591646,10534.68458190115,10485.936893679422,9637.904351301115,10435.065644785,9892.77367295928,10377.018324548313,10110.309389297274,10429.296342683907,10459.701650594188,10290.79450973635,10586.52161917757,10117.099440435777,9992.707813431776,9845.314679485697,9867.409652329403,9978.053713768553,10297.663861623572,10002.179797535264,9189.835729801714,10589.684904265476,9796.684999768913,9523.399895530238,10241.03755207446,9452.11507159554,10264.995705689957,10471.857448441782,10510.402918383317,10257.88963058869,10336.686795703601
