,name,id,lat,lon
0,"WILMINGTON 2.2 N, OH US",GHCND:US1OHCN0010,39.474519,-83.836053
1,"FARMERSVILLE 1.7 E, OH US",GHCND:US1OHMY0005,39.680672,-84.395424
